NAME	Neuron	Oligodendrocyte	Microglia	Endothelial	Astrocyte
A930005H10Rik	30.9745313403518	1	1	1	73.7139353492945
AF251705	1	1	350.597815830131	1	1
AI464131	1	1	1	1	191.888677413693
AI607873	1	1	311.550211164391	1	1
AI662270	1	1	51.7341495152636	1	1
AI987944	1	41.472745244803	1	1	1
AU021092	1	1	1	279.270253047984	1
AW112010	1	1	1	233.489883338588	1
Abat	110.897554004713	45.870073375226	1	1	277.917466979113
Abca1	1	1	804.533865447657	93.6550904565939	188.784257908794
Abca9	1	1	327.845522920009	1	1
Abcb10	1	38.352348717049	1	1	1
Abcb1a	1	1	1	527.610122031114	1
Abcc3	1	1	105.453849292531	1	1
Abcc4	1	1	1	129.677666040049	1
Abcc9	1	1	1	105.371574440819	1
Abcd2	34.3099430881252	1	1	1	121.50474983153
Abcg2	1	1	1	161.838833431624	1
Abhd1	1	1	1	1	144.979791018155
Abhd2	1	1	1	53.5794383844133	1
Abhd3	1	148.81344865352	1	1	718.470751974476
Abhd4	1	147.299593795693	1	1	110.222090486657
Abhd5	1	66.9087958306382	1	1	1
Abl1	1	79.6290004364816	54.1648339900868	1	1
Abtb2	1	35.4121291147538	1	1	1
Acaa2	1	1	1	50.0570261642907	149.423683160482
Ackr3	1	1	96.2124086756931	500.14014333278	1
Acot1	1	1	1	1	56.099589947987
Acot11	1	1	1	1	93.7993594571085
Acsbg1	1	1	1	1	856.770548672268
Acsl6	42.3518489594732	1	1	1	623.730801588966
Acss1	1	1	1	1	117.887681360506
Acta2	1	1	1	3242.65452610686	1
Actl6a	1	31.9117458567965	1	1	1
Actr1b	83.0231808956849	1	1	1	1
Acvrl1	1	1	1	151.283236528697	1
Acy1	1	85.5560439285378	1	1	1
Acy3	1	39.4283999606609	1	1	1
Adam11	126.625436093732	1	1	1	1
Adam23	131.400925933188	1	1	1	1
Adam33	1	1	79.2340082092335	1	1
Adamts1	1	1	127.759775058187	515.299283185475	71.5162883042288
Adamts4	1	243.28557103352	1	1	1
Adamtsl4	1	109.656249166833	1	1	1
