NAME	Neuron	Endothelial	Astrocyte	Microglia	Oligodendrocyte
A030009H04Rik	224.863548893491	1	1	1	1
A130022J15Rik	1	304.501684502847	210.162926617957	1	1
A230001M10Rik	1	1	1	1	78.1614823456743
A230073K19Rik	102.011519021179	1	1	1	1
A330076H08Rik	110.820754221435	1	1	1	1
A4galt	1	46.4550569327819	1	1	1
A730017C20Rik	82.0669433043105	1	1	1	1
A830010M20Rik	308.483942401513	1	1	1	1
A830018L16Rik	102.074384500842	1	1	1	1
A930011O12Rik	91.182453854103	1	1	1	1
AA387883	1	1	65.482987136762	1	1
AF251705	1	1	1	237.425114992469	1
AI464131	1	1	184.425203316142	1	1
AI593442	1419.32861341738	1	1	1	1
AI854517	1	1	114.526506244399	1	112.900817212574
AU021092	1	39.4188496791043	1	1	1
AW112010	1	270.175933839117	1	1	1
Aagab	86.2029747233366	1	1	141.647861723321	1
Aass	1	1	49.1955525116404	1	1
Aatk	1	1	1	1	53.2326940941943
Abca8a	1	1	1	1	131.202616808237
Abca9	1	1	1	470.583732543344	1
Abcb1a	1	775.816349264199	1	1	1
Abcc3	1	1	1	84.4418927467299	1
Abcd1	1	1	1	161.146045483351	1
Abcd2	57.8108201874684	1	402.041565918757	18.4577337066126	1
Abcd4	1	1	88.9144975116853	1	1
Abcg2	1	920.355200827369	1	138.796244952739	1
Abhd10	30.3608701206518	1	104.661344813025	1	1
Abhd14b	1	199.518942019957	158.621296865281	1	1
Abhd3	31.9678576023612	1	918.907602194603	1	212.014169199636
Abi3	1	1	1	329.994287004043	1
Ablim1	91.5972442516481	392.900121342466	1	1	1
Abtb2	1	1	1	1	71.8818020038083
Acaa2	1	204.284362488185	151.706225815803	1	1
Acaca	24.0453018833538	1	103.003189375599	1	1
Acat3	1	1	78.2276087201791	1	1
Acbd3	22.6547351993912	1	1	99.8920800337885	1
Acot11	1	1	201.58472640547	1	1
Acot7	788.301438923509	1	1	1	380.249145250159
Acot9	80.0514277774792	292.694079560873	1	1	1
Acox3	1	1	1	75.7208245900193	1
Acsbg1	1	1	1638.19319474025	1	1
Acsl3	66.8352279921934	1	773.651374841296	1	81.685313239936
Acsl6	64.2530202763603	1	1196.98024682805	1	1
Acss1	1	1	86.954805998998	1	1
Actl6a	1	1	1	1	68.81910606188
Actn4	34.68275296977	194.638232564454	1	1	1
Acvrl1	1	107.485819988908	1	1	1
Acy1	1	1	46.2227411861382	1	1
Adam22	398.955311634945	1	1	1	327.672325299163
Adap2	1	113.274063350043	1	395.813284278631	1
Adar	102.399812356876	127.238239029254	1	1	1
Adcy1	161.070729552722	1	1	1	1
Adhfe1	1	1	308.948783873326	1	1
Adipor2	1	36.2020029378687	1	1	1
Adm	1	1	1	1	136.634219209948
Adora1	95.1774606916898	1	1	1	149.572318810701
Adrb2	1	1	1	309.214976210201	1
Adrbk2	64.7854621337833	1	390.27214273503	1	1
Afap1l1	1	187.651714038847	1	1	1
Afap1l2	1	121.8382323277	1	1	184.559853519017
Aff1	1	85.5526846495437	1	1	1
Aftph	45.9010334686651	1	1	237.189076997986	1
Agmo	1	1	146.104314461712	302.344480659508	1
Agpat3	1	1	56.9657251976885	1	1
Agpat4	90.800612247136	1	1	1	493.59642496624
Agpat5	29.7428508629867	1	404.780385143387	1	194.413117303824
Agt	1	1	75.641589549363	1	1
Agtpbp1	88.6710408809846	1	1	1	1
Agxt2l1	1	1	93.0288189999713	1	1
Ahnak	1	941.339312859116	1	1	1
Aida	33.037720674625	1	1	117.524995557382	1
