NAME	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
A230001M10Rik	1	1	1	93.172049360759	1
A230006K03Rik	1	1	1	1	235.433930742964
A330015K06Rik	1	1	1	75.6614519837641	1
A4galt	1	150.11657718732	1	1	1
A830008E24Rik	1	1	303.395868521269	1	1
A830018L16Rik	1	1	1	1	336.775862831893
A830082K12Rik	154.048542822685	1	1	1	128.224277034322
AC151836.1	1	133.761247135447	1	1	1
AC154683.1	362.447247541433	1	1	1	1
AC161607.1	80.3862107125804	1	1	1	1
AI464131	227.239877205502	1	1	1	1
AI593442	1	1	1	1	164.137528593096
AU020206	1	1	120.112243702016	1	1
AW112010	1	160.643436930272	1	1	1
Aatk	85.229079797608	1	1	431.32616814215	88.3016153855248
Abca2	1	1	1	234.272261097959	58.1476949419354
Abca9	1	1	229.511233832612	1	1
Abcb1a	1	946.240850055687	1	1	1
Abcb1b	1	1	172.07587699398	1	1
Abcb9	137.394263845058	1	1	1	28.0480478211517
Abcc3	1	1	176.827434123763	1	1
Abcc4	1	526.681321956538	1	1	1
Abcc9	1	273.977683420038	1	1	1
Abcg2	1	509.256050409388	1	1	1
Abhd14b	76.5546119836757	1	1	1	1
Abhd15	1	1	219.365662144953	1	1
Abhd17b	181.864153180969	1	1	572.824096001808	67.0178438270807
Abhd3	183.780304689385	1	1	1	1
Abi3	1	1	393.763907781292	1	1
Ablim1	199.332301272321	1306.09066583899	1	1	224.976204298707
Ablim2	1	1	1	318.048960158565	141.765333366937
Abtb2	141.53206377826	1	1	472.960163569683	1
Acacb	1	80.9251850966729	1	1	1
Acat3	73.4309290771081	1	1	1	1
Acer2	1	157.915586061277	1	1	1
Ackr3	1	155.39602838884	1	1	1
Acot11	266.744546313078	1	1	1	1
Acox3	1	1	176.550180035963	1	1
Acsbg1	653.97650856623	1	1	1	1
Acsl3	861.591644408657	1	1	154.909197822784	70.7872044057894
Acsl6	452.010233478162	1	1	1	68.0020688771989
Acss2	170.729360046436	1	1	1	39.4785909534644
Acta2	1	478.744775684596	1	1	1
Actl6a	1	1	1	55.9005401130896	1
Acvrl1	1	379.996236049579	1	1	1
Adam12	1	1	1	166.400180575385	1
Adam22	1	1	1	186.197345923738	255.421003994699
Adam9	1	1	1	97.8992673793455	34.4950819257003
Adamts1	1	231.230530049563	1	1	1
Adamts10	1	129.933240483579	1	1	1
Adamts4	1	1	1	189.318677907873	1
Adamtsl1	1	1	1	127.771728531227	1
Adap2	1	264.574661941673	1103.86683407938	1	1
Adap2os	1	1	434.139232307042	1	1
Adar	1	1	1	1	135.975192757853
Adarb1	1	1	1	1	125.695564875966
Adarb2	1	1	1	605.814537146161	1252.88929157737
Adcy1	1	1	1	1	352.911611486065
Adcy2	506.391119998217	1	1	1	268.490228707346
Adcy7	1	1	87.5733786759543	1	1
Adcy8	1	1	1	1	140.107380799882
Add2	1	1	1	1	158.125931362778
Adgra1	1	1	1	1	119.377584139557
Adgra2	1	148.024825443292	1	1	1
Adgrb3	1912.73343829751	1	1	586.706548719129	1475.89656774273
Adgre1	1	1	316.837386893731	1	1
Adgre5	1	184.251950452328	1	1	1
Adgrf5	1	1028.38332812259	1	1	1
Adgrl2	1	233.919468654057	1	1	89.403774581275
Adgrl4	1	1878.46100933582	1	1	1
Adhfe1	146.999357691694	1	1	1	1
Adi1	1	1	1	102.563749079651	1
Ado	1	1	1	345.063491216652	51.0460305736994
Adora1	1	1	1	181.289253322609	146.853643737322
Adrb2	1	1	293.579957611664	1	1
Afap1	1	1	1	58.3612247140301	1
Afap1l1	1	410.440440683328	1	1	1
Afdn	1	253.319353498761	1	1	136.789762188095
Aff1	186.62673419207	115.389389826582	1	1	1
Aff3	1	1	1	1	226.440333413137
Agap3	1	1	1	1	122.019378802536
Agbl4	1	1	1	103.108001783817	436.783567715024
Agl	280.192023875084	1	1	1	1
Agmo	222.887910197551	1	703.146034577861	1	1
Agpat4	1	1	1	260.044560045304	73.3934309051734
Ahnak	1	531.560252654519	1	1	1
Aif1	1	1	815.819175613466	1	1
Aifm3	138.681262447017	1	1	1	39.0346680248033
Aim2	1	77.7360506266592	187.966149660019	1	1
Airn	1	248.772507793536	1	1	1
Ak5	1	1	1	69.7911894335573	265.619760176519
Akap12	1	513.787710958437	1	1	1
Akna	1	1	74.5837559801945	1	1
Akt2	295.397861107428	1	1	1	32.2240965533336
Alas1	1	165.736357505827	1	1	1
Aldh1a1	178.230512832108	1	1	1	1
Aldh1l1	232.29503327704	1	1	1	1
Aldh6a1	155.088600804701	1	1	76.4407007289182	1
Aldh7a1	97.7230186917183	1	1	1	1
Aldoc	1313.77542628679	1	1	1	1
Alg14	1	100.105521076423	1	1	1
Alg2	1	1	1	1	113.272888232726
Alk	1	1	1	1	117.767760442589
Alms1	99.6965434662946	1	1	1	29.9312966994784
Alox5ap	1	1	380.818035256355	1	1
Alpk1	149.672658155266	1	1	1	1
Amd1	1	1	1	95.635560204227	31.3014401888994
Amot	80.084731782691	1	1	1	1
Amotl1	96.7775580358512	249.188519584945	1	1	1
Ampd3	1	1	1	137.85317819691	1
Amph	1	1	1	240.23692226583	292.939290690219
Ank3	1	1	76.679296881912	1527.38505165651	1129.7179040266
Ankib1	1	1	1	185.146492979264	71.3939646646195
